Nombre del Centro;Nº de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional
AMBULANCIAS DOMINGO LIÉBANA ARIAS;24-C290-0020;CL. MAESTRO URIARTE 3  ;24007;LEON;LEON;987876216;987876230;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;LIÉBANA ARIAS , DOMINGO;PRIVADOS;
AMBULANCIAS ENRIQUE BLANCO;24-C290-0024;CL. MAESTRO URIARTE 3  ;24008;LEON;LEON;987876216;987876230;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS ENRIQUE BLANCO, S.L.;PRIVADOS;
AMBULANCIAS ENRIQUE BLANCO (PONFERRADA);24-C290-0025;AV. DE GALICIA 336  ;24400;PONFERRADA;LEON;0;0;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS ENRIQUE BLANCO, S.L.;PRIVADOS;
AMBULANCIAS FABIÁN MARTÍN;37-C290-0002;AV. DE PORTUGAL 276  ;37006;SALAMANCA;SALAMANCA;923122676;923121786;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS FABIÁN MARTÍN, S.L.;PRIVADOS;
AMBULANCIAS GREDOS;05-C290-0002;CL. RÍO PISUERGA 13-14  ;05004;AVILA;AVILA;920352500;920250358;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS GREDOS SL;PRIVADOS;
AMBULANCIAS GREDOS (SVA);05-C257-0008;CL. RÍO PISUERGA (POLÍGONO INDUSTRIAL LAS HERVENCIAS) 13-14  ;05004;AVILA;AVILA;920352500;920250358;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBULANCIAS GREDOS SL;PRIVADOS;
AMBULANCIAS LEONESAS;24-C290-0027;CL. TRIANA 7  ;24249;POBLADURA DE PELAYO GARCIA;LEON;987242424;987641171;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;TRANCHE CADENAS , JOSÉ ÁNGEL;PRIVADOS;
AMBULANCIAS LEONESAS (S.V.A.);24-C257-0017;CL. TRIANA 7  ;24249;POBLADURA DE PELAYO GARCIA;LEON;987242424;987641171;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO ;TRANCHE CADENAS , JOSÉ ÁNGEL;PRIVADOS;
AMBULANCIAS NORTELEÓN;24-C257-0016;CR. CIRCUNVALACIÓN -  ;24240;SANTA MARIA DEL PARAMO;LEON;987360077;0;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBULANCIAS NORTELEÓN, S.L.;PRIVADOS;
AMBULANCIAS NORTELEÓN, S.L.;24-C290-0009;CR. DE CIRCUNVALACIÓN, S/Nº, SECTOR 5   ;24240;SANTA MARIA DEL PARAMO;LEON;987360077;987360027;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS NORTELEÓN, S.L.;PRIVADOS;
AMBULANCIAS PÉREZ;24-C290-0019;CL. MAESTRO URIARTE 3  ;24007;LEON;LEON;987876216;987876230;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS PÉREZ, S.L.;PRIVADOS;
AMBULANCIAS RICARDO JOAQUÍN PANIAGUA SEVILLANO;37-C290-0003;CL. PLATEROS 21-22  ;37006;SALAMANCA;SALAMANCA;923249517;0;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;PANIAGUA SEVILLANO , RICARDO JOAQUÍN;PRIVADOS;
AMBULANCIAS RODRIGO;09-C290-0006;CL. ALFOZ DE BRICIA, PARCELA 129 (POLÍGONO INDUSTRIAL DE VILLALONQUÉJAR)   ;09001;BURGOS;BURGOS;947244717;947244718;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS RODRIGO, S.L.;PRIVADOS;
AMBULANCIAS RODRIGO SANTIDRIÁN;09-C290-0007;CL. ALFOZ DE BRICIA (P.I. VILLALONQUÉJAR) 129  ;09001;BURGOS;BURGOS;947244717;947244718;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS RODRIGO SANTIDRIÁN, S.L.;PRIVADOS;
AMBULANCIAS RODRIGO (SVA);09-C257-0007;CL. ALFOZ DE BRICIA, PARCELA 129 (POLÍGONO INDUSTRIAL VILLALONQUÉJAR)   ;09001;BURGOS;BURGOS;947244717;947244718;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AMBULANCIAS RODRIGO, S.L.;PRIVADOS;
AMBULANCIAS RODRÍGUEZ;24-C290-0015;CL. MAESTRO URIARTE 3  ;24007;LEON;LEON;987876216;987876230;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS RODRÍGUEZ, S.L.;PRIVADOS;
AMBULANCIAS SANTOS;24-C290-0016;CL. MAESTRO URIARTE 3  ;24007;LEON;LEON;987876216;987876230;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS SANTOS, S.L.;PRIVADOS;
AMBULANCIAS SANTOS S.V.A.;24-C257-0020;CL. MAESTRO URIARTE 3  ;24007;LEON;LEON;987876216;987876230;CENTROS MÓVILES DE ASISTENCIA SANITARIA;;AMBULANCIAS SANTOS, S.L.;PRIVADOS;
AMBUTIETAR, S.A.;05-C257-0003;CL. ARENAL 2  ;05410;MOMBELTRAN;AVILA;0;0;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO ;AMBUTIETAR, S.A.;PRIVADOS;
AMPLIFÓN;09-E-0074;PZ. MAYOR 29  ;09001;BURGOS;BURGOS;947201611;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS;AMPLIFÓN IBÉRICA, S.A.U.;PRIVADOS;
AMPLIFÓN;37-E-0066;AV. DE PORTUGAL 84  ;37005;SALAMANCA;SALAMANCA;923240055;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS;AMPLIFÓN IBÉRICA, S.A.U.;PRIVADOS;
AMPLIFÓN;47-E-0138;CL. CANOVAS DEL CASTILLO 4  ;47002;VALLADOLID;VALLADOLID;0;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS;AMPLIFÓN IBÉRICA, S.A.U.;PRIVADOS;
AMPLIFÓN;24-E-0101;CL. ORDOÑO II 20  ;24001;LEON;LEON;987227337;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS;JUNCO NICOLAU , RODRIGO;PRIVADOS;
AMPLIFÓN IBÉRICA;47-E-0026;CL. SAN ILDEFONSO 11  ;47006;VALLADOLID;VALLADOLID;0;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS;AMPLIFÓN IBÉRICA , S.A.U.;PRIVADOS;
AMPLIFÓN IBÉRICA ;34-E-0004;PZ. PÍO XII 3  ;34001;PALENCIA;PALENCIA;0;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS;AMPLIFON IBÉRICA S.A.U;PRIVADOS;
AMPLIGEN DIAGNÓSTICO;24-C256-0023;CL. ANCHA 34  ;24400;PONFERRADA;LEON;987417110;987417110;ESPECIALIZADOS: CENTROS DE DIAGNÓSTICO;GENÉTICA;AMPLIGEN DIAGNÓSTICOS S.L.;PRIVADOS;
ANA LUCAS GALINDO;09-C22-0157;CL. VITORIA 29  D;09004;BURGOS;BURGOS;0;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);LUCAS GALINDO , ANA;PRIVADOS;
ANA NEIRA PSICOLOGÍA;47-C22-0215;CL. DOMINGO MARTÍNEZ 6  ;47007;VALLADOLID;VALLADOLID;647874158;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);NEIRA FERNÁNDEZ , ANA;PRIVADOS;
ANA SERRANILLA. FISIOTERAPIA A DOMICILIO;05-C22-0081;CL. SAN SALVADOR 2  ;05200;AREVALO;AVILA;625997904;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;GÓMEZ SÁNCHEZ , ANA;PRIVADOS;
ANANDAVIDA CENTRO MÉDICO ESTÉTICO;47-C3-0164;CL. CIUDAD DE LA HABANA 9  ;47014;VALLADOLID;VALLADOLID;983386591;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACIÓN NO SANITARIA;DEPÓSITO DE MEDICAMENTOS#FISIOTERAPIA#MEDICINA ESTÉTICA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);ANANDAVIDA S.L.;PRIVADOS;
ANAY SIDNEY 2000, S.L. (PALENCIA);34-C21-0026;CL. BALMES 14  ;34004;PALENCIA;PALENCIA;979710068;0;CONSULTAS MÉDICAS;MEDICINA ESTÉTICA#MEDICINA GENERAL /  DE FAMILIA;ANAY SIDNEY 2000, S.L.;PRIVADOS;
ANAYA OPTICOS;37-E-0061;AV. FEDERICO ANAYA  1  ;37005;SALAMANCA;SALAMANCA;923248423;923248423;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ÓPTICA;ANAYA ÓPTICOS C.B.;PRIVADOS;
ANAYA PSICOLOGIA;24-C22-0125;CL. RENUEVA 11  C;24002;LEON;LEON;987094618;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES;LOMBO RODRIGUEZ , JOSE ;PRIVADOS;
ANCLA SALUD;37-C21-0217;CL. SINAGOGA 1-3  ;37500;CIUDAD RODRIGO;SALAMANCA;923481645;923480871;CONSULTAS MÉDICAS;MEDICINA GENERAL /  DE FAMILIA;PÉREZ-SOLÓRZANO SÁNCHEZ , MARÍA JESÚS;PRIVADOS;
ÁNCORA PSICOLOGÍA Y FORMACIÓN;05-C22-0088;AV. DERECHOS HUMANOS 58  1;05003;AVILA;AVILA;920250482;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);ÁNCORA PSICOLOGÍA Y FORMACIÓN CB.;PRIVADOS;
ÁNGEL ÓPTICO;49-E-0002;AV. TRES CRUCES 11  ;49008;ZAMORA;ZAMORA;980514457;980514457;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS#ESTABLECIMIENTO DE ÓPTICA;ÁNGEL ÓPTICO , S.L.;PRIVADOS;
ANIMAE PSICÓLOGOS;09-C22-0120;AV. DEL CID 3  A;09003;BURGOS;BURGOS;947076303;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);SOTO GARCÍA , BEATRIZ;PRIVADOS;
ANTÁRTIDA DENTAL;05-C251-0077;TR. DE CASILLAS 1  ;05420;SOTILLO DE LA ADRADA;AVILA;918668056;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;ANTÁRTIDA DENTAL SL UNIPERSONAL;PRIVADOS;
ANTONIA CÁMARA LAGUNA - PSICÓLOGA;34-C22-0107;CL. LOS OLMOS 3  ;34003;PALENCIA;PALENCIA;979105594;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);CAMARA LAGUNA , ANTONIA;PRIVADOS;
APACID-ASOCIACIÓN DE PADRES Y TUTORES DEL CENTRO OCUPACIONAL EL CID;09-C3-0148;CL. MERINDAD DE SOTOSCUEVA 9  ;09001;BURGOS;BURGOS;947297199;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACIÓN NO SANITARIA;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);APACID;PRIVADOS;
APIE CLÍNICA PODOLÓGICA;34-C24-0007;CL. MARQUÉS DE ALBAIDA Nº 1, OFICINA 1   ;34005;PALENCIA;PALENCIA;979745017;0;CENTROS POLIVALENTES;ENFERMERÍA#PODOLOGÍA;LLAMAS URBÓN , AGUSTÍN;PRIVADOS;
APOFIS FISIOTERAPIA;09-C22-0119;AV. REYES CATÓLICOS 33  ;09005;BURGOS;BURGOS;947100077;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;APOFIS FISIOTERAPIA, S.C.;PRIVADOS;
AQUA VEGA FISIOTERAPIA;37-C22-0171;CL. EL ROMPIDO 2  ;37339;VILLORIA;SALAMANCA;0;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;GARCÍA FRANCO , BEATRIZ;PRIVADOS;
AQUILES-CONSULTA PODOLÓGICA;47-C22-0028;PZ. FUENTE DORADA 17  A;47001;VALLADOLID;VALLADOLID;983379990;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;PODOLOGÍA;ESCARDA ALONSO , HILARIO;PRIVADOS;
ÁREA PSIQUIÁTRICA DEL CENTRO ASISTENCIAL  SAN JUAN DE DIOS   ;34-C14-0002;PS. PADRE FAUSTINO CALVO 0  ;34005;PALENCIA;PALENCIA;979742300;979742890;HOSPITALES DE SALUD MENTAL Y TRATAMIENTO DE TOXICOMANÍAS;ATENCIÓN SANITARIA A DROGODEPENDIENTES#DEPÓSITO DE MEDICAMENTOS#ENFERMERÍA#MEDICINA GENERAL /  DE FAMILIA#OBTENCIÓN DE MUESTRAS#OTRAS UNIDADES ASISTENCIALES#PSICOLOGÍA CLÍNICA#PSIQUIATRÍA#TERAPIA OCUPACIONAL;H.H. SAN JUAN DE DIOS;ORGANIZACIONES NO GUBERNAMENTALES;
ÁREA SANITARIA LA ESTACIÓN;34-C24-0019;AV. LA ESTACIÓN 36  ;34200;VENTA DE BAÑOS;PALENCIA;979770047;979770047;CENTROS POLIVALENTES;ENFERMERÍA#FISIOTERAPIA#LOGOPEDIA#MEDICINA GENERAL /  DE FAMILIA#OBTENCIÓN DE MUESTRAS#OTRAS UNIDADES ASISTENCIALES;ÁREA SANITARIA LA ESTACIÓN, S.L.;PRIVADOS;
ARGOS FISIOTERAPIA;40-C22-0056;AV. VÍA ROMA 36  ;40003;SEGOVIA;SEGOVIA;921438173;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;PINILLA LORENZO , EDUARDO;PRIVADOS;
ARTE DENTAL TUDELA;47-C251-0237;CL. CALVARIO 2  ;47320;TUDELA DE DUERO;VALLADOLID;659547652;983523205;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;ARTE DENTAL TUDELA, S.L.P.;PRIVADOS;
AS;;CL. AS 3  ;47002;ALDEA DE SAN MIGUEL;VALLADOLID;0;0;;ANÁLISIS CLÍNICOS;AEGÓN SALUD , S.A. DE SEGUROS Y REASEGUROS;;
ASESORAMIENTO PSICOLÓGICO AUROSSA;40-C22-0090;CL. ARIAS DÁVILA 1  3;40001;SEGOVIA;SEGOVIA;690799110;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);ZIAJA , ALDONA MARIA;PRIVADOS;
ASISTENCIA Y SERVICIOS SANITARIOS (SVA);05-C257-0011;CL. PEÑALTAR 26  ;05100;NAVALUENGA;AVILA;920298679;0;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;ASISTENCIA Y SERVICIOS SANITARIOS , MARÍA DE LOS ÁNGELES SL.;PRIVADOS;
ASISTENCIAL DE CUIDADOS DOMICILIARIOS;49-C3-0059;PZ. DE SANTA ANA 2  ;49006;ZAMORA;ZAMORA;980509204;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACIÓN NO SANITARIA;ATENCIÓN SANITARIA DOMICILIARIA#ENFERMERÍA#FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#PODOLOGÍA#PSICOLOGÍA CLÍNICA#TERAPIA OCUPACIONAL;ASISTENCIAL DE CUIDADOS DOMICILIARIOS, S.L.;PRIVADOS;
ASOC. DE FAMILIARES Y PERSONAS CON ENFERMEDAD MENTAL, FEAFES PALENCIA;34-C3-0096;CL. ASTERIO MAÑANÓS 6  ;34005;PALENCIA;PALENCIA;979746342;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACIÓN NO SANITARIA;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);FEAFES - PALENCIA , AS. FAMILIARES Y PERSONAS CON ENFERMEDAD MENTAL;PRIVADOS;
ASOCIACIÓN ALDAMA (C.R.A Y C.T);34-C3-0106;CL. EL ARRABAL, S/N   ;34192;BAQUERIN DE CAMPOS;PALENCIA;979723501;979723569;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACIÓN NO SANITARIA;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);ASOCIACIÓN ALDAMA;PRIVADOS;
ASOCIACIÓN ESPAÑOLA CONTRA EL CANCER-JUNTA PROVINCIAL VALLADOLID;47-C3-0175;CL. SAN DIEGO 1  ;47003;VALLADOLID;VALLADOLID;983351429;983352702;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACIÓN NO SANITARIA;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);ASOCIACIÓN ESPAÑOLA CONTRA EL CANCER-JUNTA PROVINC;PRIVADOS;
ASOCIACIÓN PRO SALUD MENTAL DE BURGOS (FEAFES BURGOS PROSAME);09-C3-0146;CL. VELA ZANETTI 3  ;09007;BURGOS;BURGOS;647925764;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACIÓN NO SANITARIA;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);(FEAFES BURGOS PROSAME) , ASOCIACIÓN PRO SALUD MENTAL DE BURGOS ;PRIVADOS;
ASOCIACIÓN SALMANTINA DE ESCLEROSIS MÚLTIPLE (ASDEM);37-C22-0301;CL. CORREGIDOR CABALLERO LLANES, 9-13  ;37005;SALAMANCA;SALAMANCA;923240101;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);ASOCIACIÓN SALMANTINA DE ESCLEROSIS MÚLTIPLE (ASDE;PRIVADOS;
ATENEA CENTRO MÉDICO;05-C21-0057;PS. DE LA ESTACIÓN 5  ;05001;AVILA;AVILA;920251166;0;CONSULTAS MÉDICAS;GINECOLOGÍA #OBSTETRICIA;DE GRADO SÁNCHEZ , CARLOS ANTONIO;PRIVADOS;
ATRISA CIRUGÍA PLÁSTICA;09-C2590-0005;CL. SANZ PASTOR 2  A;09003;BURGOS;BURGOS;947273792;0;OTROS CENTROS ESPECIALIZADOS;CIRUGÍA PLASTICA Y REPARADORA;ATRISA CIRUGÍA PLÁSTICA, S.L.;PRIVADOS;
AUDIFON ;47-E-0139;CL. CATEDRAL 7  ;47001;VALLADOLID;VALLADOLID;983293234;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS;AUDIFON EURO, S.L.;PRIVADOS;
AUDIMAR;49-E5-0001;PZ. DEL MAESTRO 9  ;49014;ZAMORA;ZAMORA;980530445;980530445;ESTABLECIMIENTO DE AUDIOPRÓTESIS;ESTABLECIMIENTO DE AUDIOPRÓTESIS;AUDIMAR, C.B.;PRIVADOS;
AUDIO CENTER PLUS;05-E-0016;PS. DE LA ESTACIÓN 18  ;05001;AVILA;AVILA;920254902;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS;HEDEMICAL, S.L.;PRIVADOS;
AUDIOSA;37-E-0080;PZ. BARRIO VIDAL 13  ;37006;SALAMANCA;SALAMANCA;923124042;923124042;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS;HERRERO FERNÁNDEZ , ANTONIO;PRIVADOS;
AUDIOVIDA;34-E-0002;PS. DEL SALON 7  ;34002;PALENCIA;PALENCIA;979170549;979170549;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS#ESTABLECIMIENTO DE ORTOPEDIA;DEL PINO TEJEDOR , JOSÉ MANUEL;PRIVADOS;
AUDITRON;37-E-0026;AV. DE VILLAMAYOR  40  H;37007;SALAMANCA;SALAMANCA;923252552;923252552;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS;BELTRÁN MORENO , SONIA;PRIVADOS;
AUGUSTA DENTAL;24-C251-0183;CL. MAGÍN REVILLO 4-6  ;24700;ASTORGA;LEON;0;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;LOBO FERNÁNDEZ , JUAN JOSÉ;PRIVADOS;
AURAL CENTRO AUDITIVO LEONÉS;24-E-0011;PZ. INMACULADA 11  ;24002;LEON;LEON;987249760;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS;AURAL CENTRO AUDITIVO LEONÉS, S.L.;PRIVADOS;
AURAL VALLADOLID;47-E-0052;CL. SANTIAGO  14  ;47001;VALLADOLID;VALLADOLID;983352473;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS;AURAL VALLADOLID , S.L.;PRIVADOS;
AUTEO;42-E-0017;CL. SAN HIPÓLITO 1  ;42005;SORIA;SORIA;975223856;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS;HEARING AIDS, S.L.;PRIVADOS;
AUTO TRANSPORTES SANITARIOS;24-C290-0023;CL. MAESTRO URIARTE 3  ;24008;LEON;LEON;987232323;987876230;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AUTO TRANSPORTES SANITARIOS, S.L.;PRIVADOS;
AUTO TRANSPORTES SANITARIOS (SVA);24-C257-0012;CL. MAESTRO URIARTE 3  ;24008;LEON;LEON;987232323;987876230;CENTROS MÓVILES DE ASISTENCIA SANITARIA;TRANSPORTE SANITARIO #URGENCIAS;AUTO TRANSPORTES SANITARIOS, S.L.;PRIVADOS;
AVANZA PSICOLOGÍA;24-C22-0206;CL. CLARA CAMPOAMOR 5  A;24004;PONFERRADA;LEON;649752792;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);GONZÁLEZ GAVELA , VANESSA;PRIVADOS;
AVICENA CENTRO;09-C24-0033;CL. FEDERICO MARTÍNEZ VAREA 29  3;09006;BURGOS;BURGOS;947265301;0;CENTROS POLIVALENTES;ENFERMERÍA#FISIOTERAPIA#UROLOGÍA;ADOT ZURBANO , JOSÉ MARÍA;PRIVADOS;
AXISH FISIOTERAPIA;37-C22-0101;CL. PLASENCIA 3  ;37003;SALAMANCA;SALAMANCA;923614962;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;AINHOA-ITZIAR C.B.;PRIVADOS;
AYA FISIOTERAPIA;47-C22-0140;CL. MATEO SEOANE SOBRAL (LOCAL 3) 4  ;47014;VALLADOLID;VALLADOLID;651158749;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;BURGOS GARCÍA , ANGEL;PRIVADOS;
AYUDATE;24-E4-0004;CL. MAESTRO NICOLAS 27  ;24005;LEON;LEON;987170478;987170478;ESTABLECIMIENTO DE ORTOPEDIA;ESTABLECIMIENTO DE ORTOPEDIA;CUENCA DONCEL , ANA Mª;PRIVADOS;
A2 FISIOTERAPIA;42-C22-0051;CL. CARO, Nº 5  ;42001;SORIA;SORIA;647858489;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ASENSIO ASENSIO , EVA;PRIVADOS;
B & B ÓPTICOS OPTOMETRISTAS;47-E-0133;PS. ZORRILLA 40  ;47007;VALLADOLID;VALLADOLID;983373645;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ÓPTICA;BLANBUENA, S.L.;PRIVADOS;
BALDEÓN DENTAL CLINIC;24-C251-0099;CL. ORDOÑO II 39  ;24001;LEON;LEON;987206103;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;BALDEÓN DENTAL CLINIC, S.L.U.;PRIVADOS;
BALDEÓN DENTAL CLINIC (BOÑAR);24-C251-0095;AV. DE LA CONSTITUCIÓN 66  C;24850;BOÑAR;LEON;987741558;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;BALDEÓN DENTAL CLINIC, S.L.U.;PRIVADOS;
BALNEA CENTRO ESTÉTICO SANITARIO;09-C3-0131;CL. SAN JOSÉ 11  ;09002;BURGOS;BURGOS;947206156;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACIÓN NO SANITARIA;FISIOTERAPIA#TERAPIAS NO CONVENCIONALES;NÚÑEZ PALACÍN , ISABEL;PRIVADOS;
BEATRIZ HERAS MORENO PSICOLOGA;34-C22-0098;CL. PORTILLO DOÑA MARÍA 2 BAJO  ;34005;PALENCIA;PALENCIA;696031103;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);HERAS MORENO , BEATRIZ;PRIVADOS;
